#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
swedish;Swedish;suédoise;Schwedisch;;Sueca;;;;;;;;;x
norwegian;Norwegian;norvégienne;Norwegisch;;Noruega;;;;;;;;;x
danish;Danish;danoise;Dänisch;;Danesa;;;;;;;;;x
german;Acheronian;Acheronian;Acheronian;;Acheronian;;;;;;;;;x
english;English;anglaise;Englisch;;Inglaterra;;;;;;;;;x
saxon;Outer Alban;anglo-saxonne;Angel-Sächsisch;;Anglosajon;;;;;;;;;x
dutch;Dutch;hollandaise;Holländisch;;Holandesa;;;;;;;;;x
norman;Norman;normande;Normannisch;;Normanda;;;;;;;;;x
italian;Italian;italienne;Italienisch;;Italiana;;;;;;;;;x
occitan;Occitan;occitane;Okzitanisch;;Occitana;;;;;;;;;x
basque;Mariner;Mariner;Mariner;;Mariner;;;;;;;;;x
castillan;Argyrian;Argyrian;Argyrian;;Argyrian;;;;;;;;;x
catalan;Vallian;Vallian;Vallian;;Vallian;;;;;;;;;x
portuguese;Westerner;Westerner;Westerner;;Westerner;;;;;;;;;x
armenian;Armenian;arménienne;Armenisch;;Armenia;;;;;;;;;x
abghazian;Abkhazian;abkhazienne;Abchasisch;;Abjaza;;;;;;;;;x
greek;Olympian;grecque;Griechisch;;Griega;;;;;;;;;x
alan;Eosian;Eosian;Eosian;;Eosian;;;;;;;;;x
georgian;Georgian;géorgienne;Georgisch;;Georgiana;;;;;;;;;x
irish;Irish;irlandaise;Irisch;;Irlandesa;;;;;;;;;x
scottish;Scottish;écossaise;Schottisch;;Escocesa;;;;;;;;;x
welsh;Welsh;galloise;Walisisch;;Galesa;;;;;;;;;x
breton;Breton;bretonne;Bretonisch;;Bretona;;;;;;;;;x
finnish;Finnish;finnoise;Finnisch;;Finesa;;;;;;;;;x
ugricbaltic;Estonian;estonienne;Estnisch;;Estonia;;;;;;;;;x
komi;Komi;komie;Komi;;Komi;;;;;;;;;x
lettigallish;Lirian;Lirian;Lirian;;Lirian;;;;;;;;;x
lithuanian;Meridianish;Meridianish;Meridianish;;Meridianish;;;;;;;;;x
prussian;Prussian;prussienne;Preußisch;;Prusiana;;;;;;;;;x
turkish;Versian;Versian;Versian;;Versian;;;;;;;;;x
mongol;Hegemonian;Hegemonian;Hegemonian;;Hegemonian;;;;;;;;;x
cuman;Children of the Sky;Children of the Sky;Children of the Sky;;Children of the Sky;;;;;;;;;x
pecheneg;Planumian;Planumian;Planumian;;Planumian;;;;;;;;;x
bedouin_arabic;Noachis-Almalayikan;Noachis-Almalayikan;Noachis-Almalayikan;;Noachis-Almalayikan;;;;;;;;;x
levantine_arabic;Australe Hellenic;;;;;;;;;;;;;x
maghreb_arabic;Hellenic;;;;;;;;;;;;;;x
egyptian_arabic;Hellenian;Hellenian;Hellenian;;Hellenian;;;;;;;;;x
andalusian_arabic;Noachian;Noachian;Noachian;;Noachian;;;;;;;;;x
russian;Icarian;Icarian;Icarian;;Icarian;;;;;;;;;x
bohemian;Bohemian;bohémienne;Böhmisch;;Bohemia;;;;;;;;;x
polish;Polish;polonaise;Polnisch;;Polaca;;;;;;;;;x
croatian;Croatian;croate;Kroatisch;;Croata;;;;;;;;;x
serbian;Serbian;serbe;Serbisch;;Serbia;;;;;;;;;x
bulgarian;Bulgarian;bulgare;Bulgarisch;;Búlgara;;;;;;;;;x
hungarian;Hungarian;hongroise;Ungarisch;;Húngara;;;;;;;;;x
persian;Daedalian;Daedalian;Daedalian;;Daedalian;;;;;;;;;x
kurdish;Amazonian;Amazonian;Amazonian;;Amazonian;;;;;;;;;x
east_african;Noctis Marineris;est-africain;Ostafrikanisch;;Africana Oriental;;;;;;;;;x
central_african;East African;est-africain;Ostafrikanisch;;Africana Oriental;;;;;;;;;x
ethiopian;Noctian;Noctian;Noctian;;Noctian;;;;;;;;;x
hausa;Solian;Solian;Solian;;Solian;;;;;;;;;x
north_germanic;Tempest;Tempest;Tempest;;Tempest;;;;;;;;;x
central_germanic;Central Alban;germanique central;Zentralgermanisch;;Germánica Central;;;;;;;;;x
west_germanic;Outer Alban;germanique occidental;Westgermanisch;;Germánica Occidental;;;;;;;;;x
latin;Terran;Terran;Terran;;Terran;;;;;;;;;x
iberian;Western;ibérique;Iberisch;;Ibérica;;;;;;;;;x
byzantine;Titan;Titan;Titan;;Titan;;;;;;;;;x
celtic;Celtic;celte;Keltisch;;Céltica;;;;;;;;;x
