#CODE;;;;;;;;;;;;;;x
wonder_house_of_wisdom;Planum Australe Space Elevator;Space Elevator;Space Elevator;;Space Elevator;;;;;;;;x
wonder_house_of_wisdom_desc;A tall and visible landmark, the Space Elevator is used to escape gravity to travel to and from the Celestial Spaceship in orbit around Mars, and to the second Space Elevator if both are in working order.;;;;;;;;;;;;x
wonder_house_of_wisdom2;Pavonis Space Elevator;Space Elevator;Space Elevator;;Space Elevator;;;;;;;;x
wonder_house_of_wisdom2_desc;A tall and visible landmark, the Space Elevator is used to escape gravity to travel to and from the Celestial Spaceship in orbit around Mars, and to the second Space Elevator if both are in working order. The Pavonis Space Elevator malfunctioned after the Spacers' first use upon reaching Mars, stranding several of their people in Tharsis Montes.;;;;;;;;;;;;x
wonder_aztec_pyramid;Elysian Pyramid;Pyramide aztèque;Aztekenpyramide;;Pirámide azteca;;;;;;;;;x
repair_wonder_decision;Repair Lighthouse;Réparer le phare;Leuchtturm reparieren;;Reparar faro;;;;;;;;;x
repair_wonder_decision_desc;You will set aside funds to repair the damage on the lighthouse removing the negative features.;Vous allez mettre de côté des fonds pour réparer les dégâts sur le phare, supprimant ainsi les caractéristiques négatives.;Ihr stellt finanzielle Mittel bereit, um den Schaden am Leuchtturm zu reparieren und die beschädigten Verbesserungen zu entfernen.;;Reservarás fondos para reparar los daños al faro retirando los elementos dañados.;;;;;;;;;x
wonder_temple_hindu_konark;Konark Sun Temple;Temple du Soleil de Konârak;Sonnentempel von Konark;;Templo del sol de Konark;;;;;;;;;x
wonder_temple_hindu_konark_desc;This temple was built in the form of a giant ornamented chariot dedicated to the Sun God, Surya.;Ce temple a la forme d'un chariot géant orné dédié au dieu soleil, Surya.;Dieser Tempel wurde in Form eines riesigen verzierten Wagens gebaut, der dem Sonnengott Surya gewidmet ist.;;Este templo se construyó en forma de cuadriga ornamentada gigante dedicada a Suria, dios del Sol.;;;;;;;;;x
wonder_underground_city_petra;Ancient Terraforming Machines;Pétra;Petra;;Petra;;;;;;;;x
wonder_underground_city_petra_desc;Legends and engravings say that these Ancient Machines terraformed this world from a red waste to the garden it is today. While no one questions that these are extravagant fortresses, these sites are sacred to the Terraformed faithful who believe they must be restored to sustain the atmosphere from fading away.;Pétra, la grande ville du désert, existe depuis des centaines d'années.;Die große Wüstenstadt Petra existiert schon seit Jahrhunderten;;Petra, la gran ciudad del desierto, ha existido desde hace cientos de años.;;;;;;;;x
wonder_apostolic_palace;Apostolic Palace;Palais apostolique;Apostolischer Palast;;Palacio apostólico;;;;;;;;x
wonder_apostolic_palace_desc;The palace of the Pope himself, sitting atop a cliff on the Cyane Coast.;Le palais du pape au coeur de Rome.;Der Palast des Papstes selbst steht im Herzen Roms.;;El palacio del mismo papa, asentado en el corazón de Roma.;;;;;;;;x
wonder_statue_horse;Statue of a Horse;Statue de cheval;Statue eines Pferdes;;Estatua de un caballo;;;;;;;;;;x
wonder_statue_horse_desc;A grand statue of a majestic stallion!;Une grande statue d'un étalon majestueux !;Die große Statue eines majestätischen Hengstes!;;¡Una gran estatua de un semental magnífico!;;;;;;;;;;x
upgrade_space_elevator_pavonis;Fast Travel Mechanism;;;;;;;;;;;;;x
upgrade_space_elevator_pavonis_desc;This enables travel from the Pavonis Space Elevator to the Planum Australe Space Elevator in a matter of days. It is one-way unless both sides are functional.;;;;;;;;;;;;;x
upgrade_space_elevator_etamarya;Fast Travel Mechanism;;;;;;;;;;;;;x
upgrade_space_elevator_etamarya_desc;This enables travel from the Planum Australe Space Elevator to the Pavonis Space Elevator in a matter of days. It is one-way unless both sides are functional.;;;;;;;;;;;;;x
wonder_cathedral_hagia_sophia;The Skyscrapers of Valles;;;;;;;;;;;;;x
wonder_cathedral_hagia_sophia_desc;The Skycrapers of Valles are a set of massive ancient towers in the capital of the Valles Marineris Empire, surrounded by the ruins of an ancient city. The towers remain mostly derelict aside from their structural frames and a few reclaimed sections near the bottom. It seems possible to continue reclaiming upward with enough gold and manpower.;;;;;;;;;;;;;x
upgrade_skyscraper_penthouse;Royal Penthouse;;;;;;;;;;;;;x
upgrade_skyscraper_penthouse_desc;;;;;;;;;;;;;;x
