####religion relocalisations
christian;Singularity;;;;Cristiano;;;;;;;;;x
catholic;Holy Terra;catholique;Katholisch;;Católico;;;;;;;;;x
catholic_DESC;Disciples of Holy Terra believe Earthlings made a garden of eden for martians and created the old Martian society in Earth’s image,but was abandoned and stripped of technology by Earth for an unknown transgression. They strive to rid themselves of vices and be more like Terrans to correct this transgression, reconnect with earth and reclaim their destiny in the stars.;;;;;;;;;;;;;x
orthodox;Blessed Singulatiry;orthodoxe;Orthodox;;Ortodoxo;;;;;;;;;x
orthodox_DESC;The Blessed Singularity shares many beliefs with Holy Terra, but believes the sun created the earth, and the singularity created the sun. Therefor even though they strive to be like Terrans they believe Martians to be equal since we are all humans that came from the singularity. They believe that Holy Terra wrongfully abandoned the emphasis on the Singularity for political rather than spiritual reasons to better control the population by making them meek.;;;;;;;;;;;;;x
muslim;Terraformed;musulman;Muslimisch;;Musulmán;;;;;;;;;x
sunni;Terraformed;sunnite;Sunnitisch;;Suní;;;;;;;;;x
sunni_DESC;Sacred guardians of the dormant atmospheric machines, The Terraformed belive humanity had to transform Mars into a new home using the gifts given by the Singularity in time to survive as a test. They oppose the Holy Terra and Blessed Singularity faiths in their insistence that Mars is more important because Earth has become uninhabitable, meaning Martians are therefore superior to Earthlings. Living against the Terraformers Code could cause all colonists to die making the management of decadence a priority. They believe the terraforming machines must be preserved and reactivated before the atmosphere escapes, forcing them to proselytize and spread their faith through any means necessary.;;;;;;;;;;;;;x
shiite;Altered;Altered;Altered;;Altered;;;;;;;;;x
shiite_DESC;The Altered are an aggressive offshoot of Terraformed adherents which believes it is inevitable that the atmosphere will fade away, and so we must prepare and adapt. Trying to restore the terraforming machines is a dangerous waste of time. Uses Assassins society to eliminate the unaltered who have no potential to survive the impending doom, and are thus a hinderance to humanity’s chance of survival.;;;;;;;;;;;;;x
cathar;Matriarchal Singularity;cathare;Katharisch;;Cátaro;;;;;;;;;x
fraticelli;Holy Singularity;fraticelle;Fratizellisch;;Fraticelli;;;;;;;;;x
fraticelli_DESC;Fusion of Holy Terran and Blessed Singularity beliefs.;fraticelle;Fratizellisch;;Fraticelli;;;;;;;;;x
lollard;First Terra;lollarde;Lollardisch;;Lolardo;;;;;;;;;x
lollard_DESC;Ultra Orthodox sect of Holy Terra which was re-founded based on ancient texts in Holy Terran ruins.;lollarde;Lollardisch;;Lolardo;;;;;;;;;x
waldensian;Original Singularity;Secular interpretation of Holy Terra and the Singularity which was re-founded based on ancient texts in Holy Terran ruins.;Waldenserisch;;Valdense;;;;;;;;;x
waldensian_DESC;Original Singularity;vaudoise;Waldenserisch;;Valdense;;;;;;;;;x
bogomilist;Blessed Terra;bogomile;Bogomilisch;;Bogomilo;;;;;;;;;x
bogomilist_DESC;Extremist offshoop of Holy Terra which believes the chosen Martians will one day return to reclaim rather than reconnect with Terra.;bogomile;Bogomilisch;;Bogomilo;;;;;;;;;x
iconoclast;First Singularity;iconoclaste;Ikonoklastisch;;Iconoclasta;;;;;;;;;x
iconoclast_DESC;Ultra Orthodox sect of Blessed Singularity which believe that the less pious adherents of Blessed Singularity are just as guilty as Holy Terra.;lollarde;Lollardisch;;Lolardo;;;;;;;;;x
monophysite;Altered Terra;monophysite;Monophysitisch;;Monofisita;;;;;;;;;x
monophysite_DESC;Believe that the disaster changed Terra in addition to Mars, and that Martians should strive to be like the new, Altered Terra since the planet and human race has been forever changed. Striving to be like the people of the past could lead to a dangerous future.;monophysite;Monophysitisch;;Monofisita;;;;;;;;;x
nestorian;Equal Singularity;nestorienne;Nestorianisch;;Nestoriano;;;;;;;;;x
nestorian_DESC;An altruistic cohort of Singularity followers with socialist influences.;nestorienne;Nestorianisch;;Nestoriano;;;;;;;;;x
zikri;True Terraformed;zikrie;Zikrisch;;Zikri;;;;;;;;;x
yazidi;Pre Terraformed;yézidie;Yazidisch;;Yazidí;;;;;;;;;x
ibadi;Original Terraformed;ibadite;Ibadisch;;Ibadí;;;;;;;;;x
bektashi;Old Terraformed;bektachi;Bektaschisch;;Bektashi;;;;;;;;;x
druze;Terraformed Reborn;druze;Drusisch;;Druso;;;;;;;;;x
hurufi;New Terraformed;hurufite;Hurufisch;;Hurufi;;;;;;;;;x
norse_pagan;Seaborne;Seaborne;Seaborne;;Seaborne;;;;;;;;;x
norse_pagan_DESC;When the once vast lands of Tempe Terra sank into Oceanus Borealis, leaving only the peninsula seen today, the Seaborne rose from the waters. This tragedy eventually developed into an advantage to the Seaborne, as they mastered the oceans and rivers to take what was needed.;;;;;;;;;;;;;x
tengri_pagan;Kemetic;Kemetic;Kemetic;;Kemetic;;;;;;;;;x
tengri_pagan_DESC;Believes in the gods from above, worshipping both Spacer and Terraformed tech, but not the Spacers and Terraformed themselves. They hope that by gaining favor with these technologies they will gain access to the tree filled with untouched moons to enjoy the afterlife with the gods above the sky, and that they have to construct their tombs as close to the heavens and as preserved as possible.;;;;;;;;;;;;;x
baltic_pagan;Romuva;romuvienne;Romuvaisch;;Romuvita;;;;;;;;;x
baltic_pagan_DESC;Romuva;romuvienne;Romuvaisch;;Romuvita;;;;;;;;;x
finnish_pagan;Äiti Marsilainen;Äiti Marsilainen;Äiti Marsilainen;;Äiti Marsilainen;;;;;;;;;x
finnish_pagan_DESC;Äiti Marsilainen paganism is diverse, varying a lot between tribes and regions. It is shamanistic and animist, revering a multitude of gods, including Ukko/Perkele, Kuu and, in the east, Mastor-Ava, goddess of the Earth.;Le paganisme finnois varie beaucoup selon la tribu ou la région. Il est empreint de chamanisme et d'animisme et on y vénère de multiples dieux, dont Ukko (aussi appelé Perkele), Kuu et, dans l'est, Mastor-Ava, déesse de la terre.;Das Finnisches Heidentum ist vielfältig, mit großen Unterschieden zwischen Stämmen und Regionen. Es ist schamanisch und animistisch und bezieht sich auf eine Vielzahl von Göttern, einschließlich Ukko/Perkele, Kuu und im Osten Mastor-Ava, Göttin der Erde.;;El paganismo Finlandés es diverso, variando mucho entre las tribus y las regiones. Es chamánico y animista, reverencia a una multitud de dioses, incluyendo a Ukko/Perkele, Kuu y, en el este, a Mastor-Ava, diosa de la Tierra.;;;;;;;;;x
zoroastrian;Divine Cycle;;;;;;;;;;;;;x
zoroastrian_DESC;The Singularity is merely the moment that each cycle of the Divine Cycle begins. Adherents of this ideology believe the disaster and being earth-like irrelevant due to the cycle of the universe, though does not deny Earth’s existence. The Divine Cycle is practiced among royalty through Divine Marriage.;;;;;;;;;;;;;x
GOD_GOD;Singularity;Dieu;Gott;;Dios;;;;;;;;;x
GOD_THE_LORD;the Singularity;le Seigneur;Der Seigneur;;El Seigneur;;;;;;;;;x
GOD_JESUS;Sagan;Sagan;Sagan;;Sagan;;;;;;;;;x
GOD_THE_BLESSED_VIRGIN;the Blessed Scientist;the Blessed Scientist;the Blessed Scientist;;the Blessed Scientist;;;;;;;;;x
GOD_ALLAH;Terraformer;Terraformer;Terraformer;;Terraformer;;;;;;;;;x
GOD_THE_GREATEST;the Greatest;le Très Grand;den Größten;;El Altísimo;;;;;;;;;x
GOD_THE_SPIRITS;the Machines;les Esprits;die Geister;;Los Espíritus;;;;;;;;;x
GOD_THE_ANCESTORS;the Ancestors;les Ancêtres;die Ahnen;;Los Ancestros;;;;;;;;;x
GOD_THOR;Poseidon;Poseidon;Poseidon;;Poseidon;;;;;;;;;x
GOD_THE_THUNDERER;the Drowner;le Tonnant;den Donnerer;;Dios del Trueno;;;;;;;;;x
GOD_THE_ALLFATHER;the Aquafather;le Père de tout;den Allvater;;El Todopoderoso;;;;;;;;;x
GOD_ODIN;Cronus;Cronus;Cronus;;Cronus;;;;;;;;;x
GOD_TENGRI;Anubis;Anubis;Anubis;;Anubis;;;;;;;;;x
GOD_ERLIK_KHAN;Sekhmet;Sekhmet;Sekhmet;;Sekhmet;;;;;;;;;x
GOD_TUNG-AK;Maat;Maat;Maat;;Maat;;;;;;;;;x
GOD_GABIJA;Gabija;Gabija;Gabija;;Gabija;;;;;;;;;x
GOD_PERKUNAS;Perkunas;Perkunas;Perkunas;;Perkunas;;;;;;;;;x
GOD_THE_GREAT_BEAR;the Great Bear;le Grand Ours;den Großen Bären;;el Gran Oso;;;;;;;;;x
GOD_UKKO;Ukko;Ukko;Ukko;;Ukko;;;;;;;;;x
GOD_PERKELE;Perkele;Perkele;Perkele;;Perkele;;;;;;;;;x
GOD_JUMI;Jumi;Jumi;Jumi;;Jumi;;;;;;;;;x
GOD_AHURA_MAZDA;Ahura Mazda;Ahura Mazda;Ahura Mazda;;Ahura Mazda;;;;;;;;;x
GOD_MANAH;Manah;Manah;Manah;;Manat;;;;;;;;;x
THE_BIBLE;The Texts;Bible;Die Bibel;;La Biblia;;;;;;;;;x
THE_KORAN;The Diagrams;Coran;Der Koran;;El Corán;;;;;;;;;x
THE_LEGENDS;The Legends;Légendes;Die Legenden;;Las Leyendas;;;;;;;;;x
THE_SAGAS;The Sagas;Sagas;Die Sagen;;Las Sagas;;;;;;;;;x
THE_GATHAS;The Gathas;Gathas;Die Gathas;;Las Gathas;;;;;;;;;x

GOD_ZUN;Zun;Zun;Zun;;Zun;;;;;;;;;x
GOD_THE_SUN;the Sun;le Soleil;die Sonne;;el Sol;;;;;;;;;x
GOD_THE_GIVER_OF_JUSTICE;the Giver of Justice;le Justicier;den Geber der Gerechtigkeit;;el que Imparte Justicia;;;;;;;;;x
THE_DARKNESS;the Darkness;les Ténèbres;Die Dunkelheit;;la Oscuridad;;;;;;;;;x
