#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
college_educated;College Educated;;;;;;;;;;;;;x
seek_higher_learning;Pursue a Degree;;;;;;;;;;;;;x
seek_higher_learning_desc;Seek higher education to make yourself a better person and ruler;;;;;;;;;;;;;x
EVTDESCcollege_school_events.1;It will soon be time for you to take the yearly exam at your university. A daunting task awaits you, but you feel ready.;;;;;;;;;;;;;x
EVTOPTAcollege_school_events.1;On second thought, maybe I should sit this one out...;;;;;;;;;;;;;x
TOOLTIPEVTOPTAcollege_school_events.1;Sit this exam out to avoid stress. This will probably not help you in the long run, though;;;;;;;;;;;;;x
EVTOPTBcollege_school_events.1;Give it your all!;;;;;;;;;;;;;x
TOOLTIPEVTOPTBcollege_school_events.1;Study for a few nights to prepare for the exam. You will receive the results in a few week;;;;;;;;;;;;;x
EVTDESCcollege_school_events.2;You did very well on the exam. Your peers could not help but to marvel at your towering intellect.;;;;;;;;;;;;;x
EVTOPTAcollege_school_events.2;T'was but a trifle!;;;;;;;;;;;;;x
EVTDESCcollege_school_events.3;You barely pass the exam. Unfortunately, the test was harder than you had imagined. It is clear you have a lot of studying left to do.;;;;;;;;;;;;;x
EVTOPTAcollege_school_events.3;No more lollygagging! Time to study!;;;;;;;;;;;;;x
EVTDESCcollege_school_events.4;You did well enough to pass the exam, but there is room for improvement. Your instructors tell you that you are on the right track.;;;;;;;;;;;;;x
EVTOPTAcollege_school_events.4;Good.;;;;;;;;;;;;;x
EVTDESCcollege_school_events.5;Today is not your day. you scored very poorly on the exam. The instructors tell you that you need to study harder or you will fall behind.;;;;;;;;;;;;;x
EVTOPTAcollege_school_events.5;Embarrassing! I must do better next time...;;;;;;;;;;;;;x
EVTDESCcollege_school_events.6;You performed better on the exam than anyone could believe! You received the highest score on the test and an accolades from your teachers. They say you are the brightest among their students;;;;;;;;;;;;;x
EVTOPTAcollege_school_events.6;Greatness comes natural to me!;;;;;;;;;;;;;x
EVTDESCcollege_school_events.9;You have finally graduated from school! You attend the graduation ceremony, looking on with pride as you recieve your graduation parchment. Now, you must choose your degree field.;;;;;;;;;;;;;x
EVTOPTAcollege_school_events.9;History, Economics, and Humanities;;;;;;;;;;;;;x
TOOLTIPEVTOPTAcollege_school_events.9;You choose a more History and Humanities focused degree;;;;;;;;;;;;;x
EVTOPTBcollege_school_events.9;Art, Literature, and Philosophy;;;;;;;;;;;;;x
TOOLTIPEVTOPTBcollege_school_events.9;You choose a more literary and artistic degree;;;;;;;;;;;;;x
EVTDESCcollege_school_events.10;You submit your documents and fees and sign the parchment, agreeing to take classes at your capital's university in pursuit of higher education. You are now a college student.;;;;;;;;;;;;;x
EVTcollege_school_events.10;I wonder what our mascot is...;;;;;;;;;;;;;x
