#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
emperor_han;Admiral;;;;;;;;;;;;;x
emperor_title_ruler_consort_han;Mr. Admiral;;;;;;;;;;;;x
emperor_title_ruler_consort_female_han;Mrs. Admiral;;;;;;;;;;;;;x
born_in_the_purple;Born in the Purple;Né dans la pourpre;Purpurgeboren;;Nacido en la púrpura;;;;;;;;;x
born_in_the_purple_desc;This character is porphyrogennetos - literally "born in the purple." It is an honor bestowed only to children born of a ruling Emperor or Empress. Their fame often grows wider than that of older siblings born before their parents ascended the throne.;Ce personnage est un porphyrogénète – littéralement : « né dans la pourpre ». C'est un honneur conféré seulement aux enfants nés dans la chambre pourpre d'un palais impérial et issus d'un basileus ou d'une basilissa. Leur prétention à la succession est plus forte que celle de leurs aînés nés avant que leurs parents ne deviennent empereurs.;Dieser Charakter ist porphyrogennetos – wortwörtlich purpurgeboren. Diese Ehre wird nur den Kindern eines regierenden Basileus oder einer regierenden Basilissa der Porphyra des Kaiserpalastes zuteil. Ihr Erbfolgeanspruch ist stärker als der älterer Geschwister, die geboren wurden, bevor ihre Eltern den Thron bestiegen.;;Este personaje es porphyrogennetos - literalmente, "nacido en la púrpura". Es un honor otorgado sólo a los niños nacidos de un Basileus o Basileia reinante en la Cámara Púrpura del Palacio Imperial. Su derecho de sucesión es más fuerte que el de hermanos mayores nacidos antes de que sus padres ascendieran al trono.;;;;;;;;;x

king_han;Captain;;;;;;;;;;;;;x
king_title_ruler_consort_han;Mr. Captain;;;;;;;;;;;;x
king_title_ruler_consort_female_han;Mrs. Captain;;;;;;;;;;;;;x
title_prince_han;Cadet;;;;;;;;;;;;;x
title_prince_female_han;Cadet;;;;;;;;;;;;;x
duke_han;Commander;;;;;;;;;;;;;x
duke_title_ruler_consort_han;Mr. Commander;;;;;;;;;;;;x
duke_title_ruler_consort_female_han;Mrs. Commander;;;;;;;;;;;;;x
count_han;Lieutenant;;;;;;;;;;;;;x
count_title_ruler_consort_han;Mr. Lieutenant;;;;;;;;;;;;x
count_title_ruler_consort_female_han;Mrs. Lieutenant;;;;;;;;;;;;;x
baron_han;Officer;;;;;;;;;;;;;x
baron_title_ruler_consort_han;Mr. Officer;;;;;;;;;;;;x
baron_title_ruler_consort_female_han;Mrs. Officer;;;;;;;;;;;;;x

family_palace_taoist;Corporation;;;;;;;;;;;;;x
family_palace_baron_taoist;CEO;;;;;;;;;;;;;x
family_palace_baron_female_taoist;CEO;;;;;;;;;;;;;x
family_palace_baron_foa_taoist;Sir;;;;;;;;;;;;;x
family_palace_baron_foa_female_taoist;Ma;;;;;;;;;;;;;;x
family_palace_barony_of_taoist;Chair of;Quartier général de;;;;;;;;;;;;x
family_palace_baron_deed_taoist;Chair of;;;;;;;;;;;;;x

family_palace_khurmazta;Corporation;;;;;;;;;;;;;x
family_palace_baron_khurmazta;CEO;;;;;;;;;;;;;x
family_palace_baron_female_khurmazta;CEO;;;;;;;;;;;;;x
family_palace_baron_foa_khurmazta;Sir;;;;;;;;;;;;;x
family_palace_baron_foa_female_khurmazta;Ma;;;;;;;;;;;;;;x
family_palace_barony_of_khurmazta;Chair of;Quartier général de;;;;;;;;;;;;x
family_palace_baron_deed_khurmazta;Chair of;;;;;;;;;;;;;x

emperor_tau_cetinese;God Emperor;;;;;;;;;;;;;x
emperor_title_ruler_consort_tau_cetinese;God;;;;;;;;;;;;x
emperor_title_ruler_consort_female_tau_cetinese;Goddess;;;;;;;;;;;;;x
king_tau_cetinese;Supreme Leader;;;;;;;;;;;;;x
king_title_ruler_consort_tau_cetinese;Supreme Leader;;;;;;;;;;;;x
king_title_ruler_consort_female_tau_cetinese;Mrs. Supreme Leader;;;;;;;;;;;;;x
title_prince_tau_cetinese;Cadet;;;;;;;;;;;;;x
title_prince_female_tau_cetinese;Cadet;;;;;;;;;;;;;x
duke_tau_cetinese;Chairman;;;;;;;;;;;;;x
duke_title_ruler_consort_tau_cetinese;Mr. Chairman;;;;;;;;;;;;x
duke_title_ruler_consort_female_tau_cetinese;Chairwoman;;;;;;;;;;;;;x
count_tau_cetinese;Commissioner;;;;;;;;;;;;;x
count_title_ruler_consort_tau_cetinese;Commissioner;;;;;;;;;;;;x
count_title_ruler_consort_female_tau_cetinese;Mrs. Commissioner;;;;;;;;;;;;;x
baron_tau_cetinese;Officer;;;;;;;;;;;;;x
baron_title_ruler_consort_tau_cetinese;Mr. Officer;;;;;;;;;;;;x
baron_title_ruler_consort_female_tau_cetinese;Mrs. Officer;;;;;;;;;;;;;x
