#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

attend_pilot_school_desc;Go to pilot school.;;;;;;;;;;;;x
mech_pilot_desc;This character pilots a personalized mech suit.;;;;;;;;;;;;x
expert_pilot;Expert Pilot;;;;;;;;;;;;x
expert_pilot_desc;This person is very skilled in mechanized warfare. Fighting them would be dangerous.;;;;;;;;;;;;x
competent_pilot;Competent Pilot;;;;;;;;;;;;x
competent_pilot_desc;This person is skilled in mechanized warfare.;;;;;;;;;;;;x
poor_pilot;Poor Pilot;;;;;;;;;;;;x
poor_pilot_desc;This person sucks at piloting Mech Suits.;;;;;;;;;;;;x
roy_pilot_events.1;Mech Pilot School;;;;;;;;;;;;x
EVTDESCroy_pilot_events.1;You have gathered the funds and announced your inentions to join the next class of cadets at the pilot school. A daunting task awaits you...;;;;;;;;;;;;x
EVTOPTAroy_pilot_events.1;On second thought, I have more important things to do...;;;;;;;;;;;;x
EVTOPTBroy_pilot_events.1;I am ready!;;;;;;;;;;;;x
roy_pilot_events.2;A Fellow Cadet;;;;;;;;;;;;x
EVTDESCroy_pilot_events.2;You've been having a great time since you enrolled in pilot school. The work is hard but manageable, and you've even made a few friends!;;;;;;;;;;;;x
EVTOPTAroy_pilot_events.2;Life is good;;;;;;;;;;;;x
roy_pilot_events.3;Drunken Fool;;;;;;;;;;;;x
EVTDESCroy_pilot_events.3;One night after class you and your friends decide to hit the tavern for a drink. Once there, another cadet from your class is drunk beyond his wits and immediatly begins insulting your honor and hurling every superlative imaginable at you.;;;;;;;;;;;;x
EVTOPTAroy_pilot_events.3;I am above this tomfoolery;;;;;;;;;;;;x
EVTOPTBroy_pilot_events.3;Catch these hands, fool!;;;;;;;;;;;;x
roy_pilot_events.4;Combat Aptitude Exam;;;;;;;;;;;;x
EVTDESCroy_pilot_events.4;Today is the day you finally take the Combat Aptitude Exam, where you will test your compatibility with a mech suit. You are nervous, but feel you are ready.;;;;;;;;;;;;x
EVTOPTAroy_pilot_events.4;I believe in myself!;;;;;;;;;;;;x
roy_pilot_events.5;Master of the Machine!;;;;;;;;;;;;x
EVTDESCroy_pilot_events.5;You did exceptionally well on the Aptitude Exam. Piloting comes naturally to you, and you move about with the machine as if it were an extension of your own body.;;;;;;;;;;;;x
EVTOPTAroy_pilot_events.5;This is nothing!;;;;;;;;;;;;x
roy_pilot_events.6;Passed!;;;;;;;;;;;;x
EVTDESCroy_pilot_events.6;You did well on the Combat Aptitude Exam. You still have much to learn, but you feel confident in your skills.;;;;;;;;;;;;x
EVTOPTAroy_pilot_events.6;I will be great!;;;;;;;;;;;;x
roy_pilot_events.7;Piss Poor Performance;;;;;;;;;;;;x
EVTDESCroy_pilot_events.7;You barely passed the piloting exam. Frankly, your instructor only let you pass because he likes you. Piloting an actual mech suit is harder than you thought.;;;;;;;;;;;;x
EVTOPTAroy_pilot_events.7;That means I must study harder!;;;;;;;;;;;;x
roy_pilot_events.8;One day while you are busy sulking about, a young woman approaches you and makes conversation. She is charming and beautiful, and you find yourself inexplicably attracted to her."[From.GetFirstName], look at me," she says, and then kisses you.;;;;;;;;;;;;x
EVTOPTAroy_pilot_events.8;Where have you been all my life?;;;;;;;;;;;;x
roy_pilot_events.9;Graduation!;;;;;;;;;;;;x
EVTDESCroy_pilot_events.9;You have graduated from Mech Suit Piloting School. With pride, your family and peers look on with pride as you and your class march out in your personalized Mech Suits.;;;;;;;;;;;;x
EVTOPTAroy_pilot_events.9;This is the best day of my life!;;;;;;;;;;;;x
roy_pilot_events.11;Study, study, study!;;;;;;;;;;;;x
EVTDESCroy_pilot_events.11;Piloting a mech suit is very hard work, so the teaching curriculum is strict and intense. You have been doing well, but sometimes the stress of all the school work and intense training gets to you.;;;;;;;;;;;;x
EVTOPTAroy_pilot_events.11;I need a break...;;;;;;;;;;;;x
EVTOPTBroy_pilot_events.11;I can sleep when I'm dead!;;;;;;;;;;;;x
roy_pilot_events.12;Mock Battle;;;;;;;;;;;;x
EVTDESCroy_pilot_events.12;Today you are engaging in another mock battle with one of your peers. You both mount your mech suits and prepare to do battle.;;;;;;;;;;;;x
EVTOPTAroy_pilot_events.12;Best of luck to you, friend.;;;;;;;;;;;;x
EVTOPTBroy_pilot_events.12;I am going to destroy you!;;;;;;;;;;;;x
roy_pilot_events.13;Victory!;;;;;;;;;;;;x
EVTDESCroy_pilot_events.13;You managed to best your opponent in today's match.;;;;;;;;;;;;x
EVTOPTAroy_pilot_events.13;We both did our best!;;;;;;;;;;;;x
EVTOPTBroy_pilot_events.13;Hah! Go cry about it, loser!;;;;;;;;;;;;x
roy_pilot_events.14;Sound Defeat...;;;;;;;;;;;;x
EVTOPTAroy_pilot_events.14;You were bested by your opponent in today's match.;;;;;;;;;;;;x
EVTOPTAroy_pilot_events.14;I'll try harder next time...;;;;;;;;;;;;x
EVTOPTBroy_pilot_events.14;You won't get away with this!;;;;;;;;;;;;x
roy_pilot_events.15;You Failure!;;;;;;;;;;;;x
EVTDESCroy_pilot_events.15;Your instructors have noted your poor perfomance and laziness as of late. After much debate, they decided to fail you out of Pilot School.;;;;;;;;;;;;x
EVTOPTAroy_pilot_events.15;This can't be happening!;;;;;;;;;;;;x




