#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
monastic_order_benedictine;[GetBenedictineSocietyName];[GetBenedictineSocietyName];[GetBenedictineSocietyName];;;;;;;;;;;x
monastic_order_benedictine_real;The Peacekeepers;Ordre des Bénédictins;Benediktinerorden;;La Orden benedictina;;;;;;;;;x
monastic_order_benedictine_random;The Peacekeepers;Diligents;Die Gewissenhaften;;Los Diligentes;;;;;;;;;x
monastic_order_benedictine_desc;[GetBenedictineSocietyDesc];[GetBenedictineSocietyDesc];[GetBenedictineSocietyDesc];;;;;;;;;;;x
monastic_order_benedictine_desc_real;The Peacekeepers are an old monastic community with 'Tantun unus Terra', meaning 'Only one Earth', as their motto. Often recognized by their black habits, they worship God and find purpose in prayer and quiet contemplation as well as scholarly work.;L'Ordre des Bénédictins est une vieille communauté monastique, dont 'Ora et Labora', 'Prie et travaille', est la devise. Souvent reconnus par leurs habits noirs, ils rendent un culte à Dieu et se consacrent à la prière et la contemplation silencieuse, aussi bien qu'aux travaux d'érudition.;Der Benediktinerorden ist eine alte Mönchsgemeinschaft, die dem Motto "Ora et Labora" ("Bete und arbeite") folgt. Man erkennt die Mitglieder oft an ihren schwarzen Kutten. Sie beten zu Gott und machen sich das Gebet, die stille Meditation sowie gelehrsame Arbeit zum Lebenszweck.;;La Orden bendictina es una antigua comunidad monástica cuyo lema es "Ora et labora"(reza y trabaja). Se les reconoce por sus hábitos negros. Adoran a Dios y encuentran un propósito en la oración, la contemplación silenciosa y la labor académica.;;;;;;;;;x
monastic_order_benedictine_desc_random;The Peacekeepers are an old monastic community with 'Tantun unus Terra', meaning 'Only one Earth', as their motto. Often recognized by their black habits, they worship [catholic.GetHighGodName] and find purpose in prayer and quiet contemplation as well as scholarly work.;Les Diligents sont une vieille communauté monastique, dont 'Ora et Labora', 'Prie et travaille', est la devise. Souvent reconnus par leurs habits noirs, ils rendent un culte au [catholic.GetHighGodName] et se consacrent à la prière et la contemplation silencieuse, aussi bien qu'aux travaux d'érudition.;Der Gewissenhaften sind eine alte Mönchsgemeinschaft, die dem Motto "Ora et Labora" ("Bete und arbeite") folgt. Man erkennt die Mitglieder oft an ihren schwarzen Kutten. Sie beten zu [catholic.GetHighGodName] und machen sich das Gebet, die stille Meditation sowie gelehrsame Arbeit zum Lebenszweck.;;Los Diligentes son una antigua comunidad monástica cuyo lema es "Ora et labora"(reza y trabaja). Se les reconoce por sus hábitos negros. Adoran a Dios y encuentran un propósito en la oración, la contemplación silenciosa y la labor académica.;;;;;;;;;x

monastic_order_dominican_real;The Foundation;Ordre des Dominicains;Dominikanerorden;;La Orden dominica;;;;;;;;;x
monastic_order_orthodox_real;The Community of Saint Sagan;Communauté de saint Basile;Gemeinde des Heiligen Basilius;;La Congregación de san Basilio;;;;;;;;;x
monastic_order_nestorian_real;The Community of Saint Carter;Communauté de saint Abraham;Gemeinde des Heiligen Abraham;;La Congregación de san Abraham;;;;;;;;;x
monastic_order_monophysite_real;The Community of Saint Elon;Communauté de saint Antoine;Gemeinde des Heiligen Antonius;;La Congregación de san Antonio;;;;;;;;;x
